HGNC ID,Approved symbol,Approved name,Status,Locus type,Previous symbols,Alias symbols,Chromosome,NCBI Gene ID,Ensembl gene ID,Vega gene ID,Group ID,Group name
HGNC:5297,HTR3A,5-hydroxytryptamine receptor 3A,Approved,gene with protein product,HTR3,"5-HT3R, 5-HT3A",11q23.2,3359,ENSG00000166736,OTTHUMG00000160494,172,"5-hydroxytryptamine receptors, ionotropic "
HGNC:5298,HTR3B,5-hydroxytryptamine receptor 3B,Approved,gene with protein product,,5-HT3B,11q23.2,9177,ENSG00000149305,OTTHUMG00000168210,172,"5-hydroxytryptamine receptors, ionotropic "
HGNC:24003,HTR3C,5-hydroxytryptamine receptor 3C,Approved,gene with protein product,,,3q27.1,170572,ENSG00000178084,OTTHUMG00000156862,172,"5-hydroxytryptamine receptors, ionotropic "
HGNC:24004,HTR3D,5-hydroxytryptamine receptor 3D,Approved,gene with protein product,,,3q27.1,200909,ENSG00000186090,OTTHUMG00000156858,172,"5-hydroxytryptamine receptors, ionotropic "
HGNC:24005,HTR3E,5-hydroxytryptamine receptor 3E,Approved,gene with protein product,,,3q27.1,285242,ENSG00000186038,OTTHUMG00000156857,172,"5-hydroxytryptamine receptors, ionotropic "
HGNC:100,ASIC1,acid sensing ion channel subunit 1,Approved,gene with protein product,ACCN2,"BNaC2, hBNaC2",12q13.12,41,ENSG00000110881,OTTHUMG00000169812,290,Acid sensing ion channel subunits
HGNC:99,ASIC2,acid sensing ion channel subunit 2,Approved,gene with protein product,"ACCN, ACCN1","ASIC2a, BNC1, BNaC1, hBNaC1, MDEG",17q11.2-q12,40,ENSG00000108684,OTTHUMG00000132885,290,Acid sensing ion channel subunits
HGNC:101,ASIC3,acid sensing ion channel subunit 3,Approved,gene with protein product,ACCN3,"TNaC1, DRASIC",7q36.1,9311,ENSG00000213199,OTTHUMG00000158685,290,Acid sensing ion channel subunits
HGNC:21263,ASIC4,acid sensing ion channel subunit family member 4,Approved,gene with protein product,ACCN4,BNAC4,2q35,55515,ENSG00000072182,OTTHUMG00000058928,290,Acid sensing ion channel subunits
HGNC:17537,ASIC5,acid sensing ion channel subunit family member 5,Approved,gene with protein product,ACCN5,"INAC, HINAC",4q32.1,51802,ENSG00000256394,OTTHUMG00000161941,290,Acid sensing ion channel subunits
HGNC:21625,ANO1,anoctamin 1,Approved,gene with protein product,"ORAOV2, TMEM16A","TAOS2, FLJ10261, DOG1",11q13.3,55107,ENSG00000131620,OTTHUMG00000167204,865,Anoctamins
HGNC:25519,ANO10,anoctamin 10,Approved,gene with protein product,TMEM16K,"FLJ10375, MGC47890, SCAR10",3p22.1-p21.33,55129,ENSG00000160746,OTTHUMG00000133044,865,Anoctamins
HGNC:1183,ANO2,anoctamin 2,Approved,gene with protein product,"C12orf3, TMEM16B",,12p13.31,57101,ENSG00000047617,OTTHUMG00000168264,865,Anoctamins
HGNC:14004,ANO3,anoctamin 3,Approved,gene with protein product,"C11orf25, TMEM16C","GENX-3947, DYT23",11p14.2,63982,ENSG00000134343,OTTHUMG00000166096,865,Anoctamins
HGNC:23837,ANO4,anoctamin 4,Approved,gene with protein product,TMEM16D,"FLJ34221, FLJ34272, FLJ35277",12q23.1,121601,ENSG00000151572,OTTHUMG00000170465,865,Anoctamins
HGNC:27337,ANO5,anoctamin 5,Approved,gene with protein product,"TMEM16E, LGMD2L",GDD1,11p14.3,203859,ENSG00000171714,OTTHUMG00000166051,865,Anoctamins
HGNC:25240,ANO6,anoctamin 6,Approved,gene with protein product,TMEM16F,DKFZp313M0720,12q12,196527,ENSG00000177119,OTTHUMG00000169564,865,Anoctamins
